Tailles,Temps (ms)
1,0.00
2,0.01
3,0.02
4,0.02
5,0.05
6,0.04
7,0.04
8,0.05
9,0.16
10,0.14
11,0.14
12,0.14
13,0.14
14,0.14
15,0.14
16,0.14
17,0.72
18,0.69
19,0.70
20,0.71
21,0.71
22,0.71
23,0.72
24,0.20
25,0.18
26,0.19
27,0.18
28,0.19
29,0.19
30,0.19
31,0.20
32,0.19
33,1.25
34,1.16
35,1.15
36,1.15
37,1.15
38,1.16
39,1.14
40,1.15
41,1.14
42,1.14
43,1.15
44,1.17
45,1.16
46,1.19
47,1.15
48,1.16
49,1.16
50,1.15
51,1.15
52,1.16
53,1.14
54,1.16
55,1.17
56,1.16
57,1.15
58,1.17
59,1.16
60,1.20
61,1.17
62,1.16
63,1.16
64,1.16
65,8.55
66,8.44
67,8.42
68,8.43
69,8.53
70,8.51
71,8.46
72,8.44
73,8.40
74,8.44
75,8.43
76,8.46
77,8.49
78,8.45
79,8.42
80,8.43
81,8.42
82,8.43
83,8.44
84,8.42
85,8.50
86,8.38
87,8.42
88,8.39
89,8.40
90,8.44
91,8.50
92,8.45
93,8.47
94,8.50
95,8.52
96,8.49
97,8.39
98,8.51
99,8.44
100,8.49
101,8.47
102,8.51
103,8.45
104,8.44
105,8.36
106,8.48
107,8.48
108,8.44
109,8.49
110,8.44
111,8.46
112,8.47
113,8.46
114,8.44
115,8.50
116,8.46
117,8.48
118,8.45
119,8.52
120,8.48
121,8.50
122,8.48
123,8.50
124,8.45
125,8.56
126,8.48
127,8.49
128,8.51
129,66.37
130,65.91
131,65.78
132,65.80
133,65.88
134,65.64
135,65.79
136,65.86
137,65.82
138,65.74
139,66.42
140,66.61
141,66.53
142,66.51
143,66.64
144,66.67
145,66.53
146,66.66
147,66.58
148,66.64
149,66.31
150,66.57
151,66.62
152,66.51
153,66.24
154,66.45
155,66.69
156,66.16
157,65.86
158,66.43
159,66.90
160,66.38
161,66.24
162,66.65
163,66.61
164,66.41
165,66.65
166,66.54
167,66.51
168,66.61
169,66.43
170,66.35
171,65.85
172,65.92
173,66.01
174,67.04
175,66.59
176,66.38
177,66.62
178,66.77
179,66.96
180,66.38
181,66.51
182,66.59
183,66.72
184,66.85
185,66.62
186,66.61
187,66.54
188,66.47
189,66.20
190,65.97
191,65.96
192,66.11
193,66.09
194,65.96
195,66.18
196,66.34
197,66.27
198,66.08
199,66.27
200,66.41
201,66.55
202,66.45
203,66.67
204,66.84
205,66.36
206,66.61
207,66.74
208,66.77
209,66.63
210,66.50
211,66.31
212,66.45
213,66.26
214,66.30
215,66.46
216,66.06
217,66.00
218,65.97
219,66.06
220,65.91
221,65.99
222,65.91
223,66.02
224,65.95
225,66.08
226,65.99
227,65.99
228,65.91
229,66.14
230,66.18
231,66.02
232,65.90
233,65.97
234,66.17
235,66.03
236,65.95
237,66.22
238,66.02
239,66.10
240,66.20
241,66.14
242,66.14
243,66.12
244,66.03
245,66.05
246,66.22
