Tailles,Temps (ms)
1,0.00
2,0.01
3,0.09
4,0.08
5,0.73
6,0.70
7,0.70
8,0.71
9,3.91
10,1.50
11,1.50
12,1.49
13,1.49
14,1.49
15,1.50
16,1.50
17,10.78
18,10.71
19,10.65
20,10.72
21,10.70
22,10.69
23,10.62
24,10.62
25,10.69
26,10.60
27,10.58
28,10.61
29,10.65
30,10.62
31,10.65
32,10.60
33,74.89
34,74.86
35,74.98
36,75.45
37,75.27
38,75.33
39,75.10
40,74.93
41,75.33
42,74.90
43,75.26
44,75.22
45,74.93
46,75.17
47,74.81
48,75.21
49,75.55
50,75.20
51,75.58
52,75.34
53,75.30
54,74.97
55,75.58
56,75.17
57,75.30
58,75.10
59,75.41
60,75.15
61,75.39
62,75.13
63,75.32
64,75.18
65,529.16
66,530.76
67,532.78
68,529.88
69,529.61
70,531.26
71,531.78
72,531.15
73,532.21
74,531.52
75,529.77
76,530.41
77,532.93
78,533.14
79,535.99
80,539.75
81,536.36
82,537.31
83,530.22
84,530.96
85,534.57
86,534.27
87,531.15
88,530.48
89,530.39
90,530.00
91,529.93
92,531.23
93,529.77
94,531.83
95,531.37
96,530.36
97,529.48
98,533.16
99,532.49
100,530.38
101,529.26
102,529.09
103,530.50
104,531.55
105,531.36
106,528.86
107,530.44
108,529.83
109,533.37
110,536.85
111,533.83
112,532.03
113,534.35
114,531.16
115,531.24
116,530.85
117,529.33
118,529.56
119,531.36
120,531.43
121,530.78
122,530.20
123,529.40
124,530.16
125,530.01
126,530.45
127,530.71

