Tailles,Temps (ms)
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.01
11,0.01
12,0.01
13,0.01
14,0.02
15,0.01
16,0.02
17,0.02
18,0.02
19,0.03
20,0.03
21,0.04
22,0.04
23,0.05
24,0.05
25,0.06
26,0.07
27,0.08
28,0.09
29,0.09
30,0.11
31,0.11
32,0.13
33,0.15
34,0.15
35,0.17
36,0.18
37,0.20
38,0.20
39,0.21
40,0.24
41,0.26
42,0.27
43,0.37
44,0.33
45,0.35
46,0.39
47,0.39
48,0.43
49,0.43
50,0.47
51,0.48
52,0.52
53,0.57
54,0.56
55,0.46
56,0.18
57,0.19
58,0.19
59,0.21
60,0.23
61,0.22
62,0.23
63,0.24
64,0.26
65,0.27
66,0.31
67,0.32
68,0.31
69,0.35
70,0.36
71,0.37
72,0.37
73,0.41
74,0.40
75,0.41
76,0.43
77,0.44
78,0.47
79,0.47
80,0.52
81,0.54
82,0.56
83,0.56
84,0.58
85,0.59
86,0.64
87,0.66
88,0.64
89,0.66
90,0.69
91,0.72
92,0.77
93,0.76
94,0.80
95,0.88
96,0.84
97,0.85
98,0.93
99,0.91
100,0.94
101,1.05
102,1.06
103,1.03
104,1.06
105,1.17
106,1.10
107,1.15
108,1.17
109,1.21
110,1.25
111,1.28
112,1.31
113,1.35
114,1.49
115,1.42
116,1.55
117,1.48
118,1.52
119,1.56
120,1.78
121,1.64
122,1.71
123,1.73
124,1.79
125,1.82
126,1.91
127,1.92
128,2.02
129,2.09
130,2.05
131,2.06
132,2.41
133,2.21
134,2.22
135,2.27
136,2.58
137,2.42
138,2.49
139,2.59
140,2.54
141,2.67
142,3.02
143,2.94
144,2.71
145,3.10
146,3.17
147,3.26
148,3.17
149,3.00
150,3.03
151,3.31
152,3.58
153,3.52
154,3.64
155,3.64
156,3.87
157,3.96
158,3.97
159,3.80
160,4.27
161,4.32
162,3.99
163,4.30
164,4.56
165,4.70
166,4.46
167,4.33
168,4.70
169,4.41
170,4.77
171,5.17
172,5.32
173,5.04
174,5.34
175,5.38
176,5.35
177,5.24
