Tailles,Temps (ms)
1,0.00
2,0.00
3,0.00
4,0.00
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.02
11,0.02
12,0.03
13,0.05
14,0.04
15,0.05
16,0.07
17,0.07
18,0.08
19,0.09
20,0.11
21,0.12
22,0.14
23,0.19
24,0.18
25,0.20
26,0.22
27,0.24
28,0.28
29,0.30
30,0.33
31,0.37
32,0.39
33,0.43
34,0.48
35,0.51
36,0.56
37,0.61
38,0.64
39,0.70
40,0.76
41,0.82
42,0.87
43,0.93
44,0.99
45,0.95
46,0.92
47,0.88
48,0.85
49,0.80
50,0.77
51,0.73
52,0.71
53,0.66
54,0.64
55,0.61
56,0.58
57,0.58
58,0.61
59,0.65
60,0.67
61,0.69
62,0.78
63,0.77
64,0.83
65,0.87
66,0.91
67,0.94
68,0.99
69,1.05
70,1.07
71,1.11
72,1.16
73,1.22
74,1.30
75,1.32
76,1.40
77,1.40
78,1.48
79,1.53
80,1.63
81,1.66
82,1.73
83,1.80
84,1.82
85,1.90
86,1.98
87,2.04
88,2.12
89,2.17
90,2.28
91,2.32
92,2.42
93,2.46
94,2.55
95,2.60
96,2.70
97,2.71
98,2.93
99,2.96
100,3.06
101,3.14
102,3.23
103,3.37
104,3.42
105,3.53
106,3.64
107,3.73
108,3.92
109,3.94
110,4.07
111,4.15
112,4.27
113,4.42
114,4.52
115,4.58
116,4.71
117,4.81
118,4.96
119,5.09
120,5.20
121,5.32
122,5.44
123,5.58
124,5.80
125,5.85
126,6.02
127,6.21
128,6.24
129,6.40
130,6.51
131,6.67
132,6.82
133,6.97
134,7.18
135,7.27
136,7.67
137,7.59
138,7.81
139,8.17
140,8.33
141,8.33
142,8.64
143,8.85
144,9.01
145,9.25
146,9.12
147,9.32
148,9.81
149,9.87
150,9.94
151,10.09
152,10.53
153,10.80
154,10.98
155,11.22
156,11.41
157,11.62
158,11.93
159,12.21
160,12.38
161,12.60
162,12.80
163,12.86
164,12.99
165,13.53
166,13.40
167,14.00
168,14.33
169,14.50
170,14.91
171,15.09
172,15.38
173,15.51
174,15.90
175,15.61
176,16.03
177,16.55
