Tailles,Temps (ms)
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.01
11,0.01
12,0.01
13,0.01
14,0.02
15,0.02
16,0.02
17,0.03
18,0.03
19,0.04
20,0.05
21,0.05
22,0.06
23,0.09
24,0.08
25,0.09
26,0.12
27,0.12
28,0.15
29,0.16
30,0.16
31,0.17
32,0.18
33,0.20
34,0.22
35,0.29
36,0.26
37,0.29
38,0.31
39,0.34
40,0.36
41,0.39
42,0.42
43,0.45
44,0.48
45,0.51
46,0.55
47,0.58
48,0.63
49,0.64
50,0.71
51,0.74
52,0.78
53,0.86
54,0.87
55,0.94
56,1.05
57,1.03
58,1.12
59,1.19
60,1.30
61,1.28
62,1.39
63,1.41
64,1.47
65,1.54
66,1.63
67,1.78
68,1.71
69,1.74
70,1.86
71,2.01
72,2.09
73,2.15
74,2.18
75,2.19
76,2.23
77,2.34
78,2.27
79,2.24
80,2.29
81,2.60
82,2.81
83,3.84
84,3.54
85,3.71
86,3.37
87,3.25
88,3.01
89,3.19
90,3.26
91,3.32
92,3.44
93,3.55
94,3.78
95,4.07
96,4.01
97,4.23
98,4.43
99,4.58
100,4.90

