Tailles,Temps (ms)
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.01
8,0.01
9,0.01
10,0.01
11,0.02
12,0.02
13,0.03
14,0.03
15,0.04
16,0.05
17,0.06
18,0.07
19,0.08
20,0.09
21,0.11
22,0.12
23,0.14
24,0.16
25,0.19
26,0.20
27,0.22
28,0.25
29,0.29
30,0.42
31,0.34
32,0.36
33,0.42
34,0.43
35,0.51
36,0.54
37,0.64
38,0.59
39,0.64
40,0.68
41,0.75
42,0.79
43,0.85
44,0.91
45,0.97
46,1.05
47,1.13
48,1.23
49,1.26
50,1.29
51,1.32
52,1.35
53,1.29
54,1.35
55,1.43
56,1.40
57,1.37
58,1.44
59,1.56
60,1.60
61,1.68
62,1.54
63,1.61
64,1.66
65,1.77
66,1.83
67,1.72
68,1.82
69,1.87
70,1.92
71,1.92
72,1.86
73,1.94
74,2.01
75,2.15
76,1.98
77,2.06
78,2.13
79,2.24
80,2.26
81,3.02
82,3.59
83,2.73
84,3.06
85,3.25
86,3.45
87,3.79
88,3.83
89,3.96
90,4.17
91,4.19
92,4.09
93,4.13
94,4.05
95,3.81
96,3.90
97,4.05
98,4.70
99,4.76
100,5.70

